model,total_moves,x_moves,x_wins,x_greedy,x_greedy_pct,x_defensiva,x_defensiva_pct,x_ofensiva,x_ofensiva_pct,x_aleatoria,x_aleatoria_pct,o_moves,o_wins,o_greedy,o_greedy_pct,o_defensiva,o_defensiva_pct,o_ofensiva,o_ofensiva_pct,o_aleatoria,o_aleatoria_pct
amazon/nova-pro-v1,325,151,15,33,21.85,3,1.99,79,52.32,34,22.52,174,14,14,8.05,24,13.79,105,60.34,31,17.82
deepseek/deepseek-prover-v2,1963,974,29,100,10.27,99,10.16,319,32.75,179,18.38,989,33,56,5.66,160,16.18,596,60.26,131,13.25
deepseek/deepseek-r1,1098,474,49,51,10.76,39,8.23,233,49.16,111,23.42,624,28,19,3.04,112,17.95,395,63.3,71,11.38
gemini-1.5-pro,790,259,55,26,10.04,9,3.47,164,63.32,24,9.27,531,23,23,4.33,34,6.4,437,82.3,27,5.08
gemini-2.0-flash,547,262,28,65,24.81,13,4.96,132,50.38,52,19.85,285,26,40,14.04,46,16.14,137,48.07,56,19.65
gemini-2.0-flash-lite,1357,459,79,24,5.23,30,6.54,209,45.53,50,10.89,898,14,4,0.45,46,5.12,794,88.42,24,2.67
gemini-2.5-flash-preview-05-20,612,314,18,18,5.73,57,18.15,194,61.78,45,14.33,298,10,10,3.36,112,37.58,136,45.64,7,2.35
gemini-2.5-pro-preview-05-06,709,343,13,18,5.25,68,19.83,202,58.89,50,14.58,366,16,26,7.1,100,27.32,165,45.08,27,7.38
gpt-4.1,985,422,18,98,23.22,43,10.19,223,52.84,56,13.27,563,17,58,10.3,94,16.7,321,57.02,80,14.21
gpt-4o,708,317,35,58,18.3,36,11.36,170,53.63,53,16.72,391,23,33,8.44,59,15.09,244,62.4,55,14.07
meta-llama/llama-4-maverick,1149,544,20,114,20.96,19,3.49,309,56.8,58,10.66,605,52,51,8.43,149,24.63,328,54.21,52,8.6
mistralai/codestral-2501,410,200,24,27,13.5,15,7.5,126,63.0,30,15.0,210,17,17,8.1,27,12.86,125,59.52,36,17.14
nvidia/llama-3.1-nemotron-ultra-253b-v1,976,519,25,96,18.5,63,12.14,277,53.37,60,11.56,457,24,42,9.19,107,23.41,264,57.77,26,5.69
nvidia/llama-3.3-nemotron-super-49b-v1,894,514,25,53,10.31,22,4.28,281,54.67,104,20.23,380,40,19,5.0,79,20.79,147,38.68,90,23.68
o3,719,354,11,16,4.52,76,21.47,194,54.8,68,19.21,365,6,6,1.64,137,37.53,146,40.0,20,5.48
o3-mini,947,496,25,25,5.04,61,12.3,199,40.12,46,9.27,451,22,9,2.0,97,21.51,283,62.75,14,3.1
o4-mini,936,454,14,14,3.08,69,15.2,304,66.96,67,14.76,482,22,42,8.71,139,28.84,229,47.51,22,4.56
qwen/qwen3-235b-a22b,1408,734,41,33,4.5,116,15.8,319,43.46,87,11.85,674,20,19,2.82,191,28.34,342,50.74,73,10.83
x-ai/grok-2,680,331,25,45,13.6,37,11.18,186,56.19,50,15.11,349,10,20,5.73,86,24.64,197,56.45,32,9.17
x-ai/grok-3-beta,934,481,43,132,27.44,9,1.87,165,34.3,73,15.18,453,24,6,1.32,68,15.01,189,41.72,135,29.8
